coord_x,coord_y,coord_x.1,coord_y.1,skeleton_length,dipole,density_200,density_500,density_800,density_1000,density_1200,density_1500,density_2000,grad_200,grad_500,grad_800,grad_1000,grad_1200,grad_1500,grad_2000,lap_200,lap_500,lap_800,lap_1000,lap_1200,lap_1500,lap_2000,count_200,count_500,count_800,count_1000,count_1200,count_1500,count_2000
1500.0,4700.0,828.0,2425.0,37.0,0.0813348449030612,0.0,0.0,4.973591971621729e-07,3.183098861837907e-07,6.631455962162305e-07,9.902974236829044e-07,9.54929658551372e-07,0.0,17.2463206339,39.0748084561,60.352645371,96.8713692587,156.9719466535,273.0701701706,0.0,-20.0,-43.9999975,-67.9999975,-107.99999563793104,-175.99999320205126,-303.9999916707734,0.0,0.0,1.0,1.0,3.0,7.0,12.0
1500.0,6100.0,770.0,3167.0,95.0,0.0774067170067758,0.0,3.819718634205488e-06,1.9894367886486917e-06,1.909859317102744e-06,1.547339724504538e-06,1.414710605261292e-06,9.54929658551372e-07,0.0,17.2462986471,39.0747868196,60.3526212876,96.8713461576,156.9719241662,273.0701486194,0.0,-19.999977499999996,-43.99997557692308,-67.99997285633484,-107.99997189479637,-175.99997027348118,-303.99996973797147,0.0,3.0,4.0,6.0,7.0,10.0,12.0
1700.0,100.0,964.0,63.0,48.0,0.009338995086129,0.0,1.2732395447351628e-06,9.947183943243459e-07,6.366197723675814e-07,4.420970641441537e-07,5.658842421045168e-07,6.366197723675814e-07,0.0,17.2463162145,39.0748040367,60.3526409515,96.8713666216,156.9719450238,273.0701688208,0.0,-19.99999375,-43.99999125,-67.99999125,-107.99999125,-175.99999009355508,-303.99998878069135,0.0,1.0,2.0,2.0,2.0,4.0,8.0
1700.0,2500.0,947.0,1292.0,96.0,0.053168616223232,0.0,2.5464790894703256e-06,1.4920775914865188e-06,9.54929658551372e-07,8.841941282883074e-07,1.1317684842090337e-06,1.0345071300973197e-06,0.0,17.2463033905,39.074791563,60.3526284779,96.8713534346,156.9719308184,273.0701543051,0.0,-19.9999825,-43.99998057692308,-67.99998057692308,-107.99997984162896,-175.99997760372986,-303.99997604355974,0.0,2.0,3.0,3.0,4.0,8.0,13.0
1700.0,5900.0,901.0,3005.0,144.0,0.425881067275991,0.0,3.819718634205488e-06,2.486795985810865e-06,1.909859317102744e-06,1.547339724504538e-06,1.414710605261292e-06,8.753521870054244e-07,0.0,17.2462857128,39.0747719996,60.3526077286,96.8713326853,156.9719105406,273.0701351864,0.0,-19.9999575,-43.99995365384615,-67.99995240384615,-107.99995166855203,-175.99994991142216,-303.9999495989221,0.0,3.0,5.0,6.0,7.0,10.0,11.0
1900.0,700.0,1055.0,359.0,8.0,0.0173278522156909,0.0,0.0,1.4920775914865188e-06,9.54929658551372e-07,8.841941282883074e-07,8.488263631567752e-07,1.0345071300973197e-06,0.0,17.2463206339,39.0748043343,60.3526412492,96.8713662059,156.9719444734,273.0701672357,0.0,-20.0,-43.999993076923076,-67.99999307692308,-107.99999234162897,-175.9999910561972,-303.99998863705116,0.0,0.0,3.0,3.0,4.0,6.0,13.0
1900.0,2700.0,1016.0,1381.0,107.0,0.1085284591888843,0.0,1.2732395447351628e-06,9.947183943243459e-07,9.54929658551372e-07,8.841941282883074e-07,9.902974236829044e-07,9.54929658551372e-07,0.0,17.2463081339,39.0747963064,60.3526319603,96.8713568491,156.9719347043,273.0701581168,0.0,-19.9999875,-43.99998557692308,-67.99998410633484,-107.99998332508484,-175.99998156795493,-303.99997998221147,0.0,1.0,2.0,3.0,4.0,7.0,12.0
1900.0,5900.0,1034.0,3010.0,113.0,0.2108352220628842,0.0,3.819718634205488e-06,2.486795985810865e-06,1.909859317102744e-06,1.547339724504538e-06,1.414710605261292e-06,8.753521870054244e-07,0.0,17.2462937934,39.0747797299,60.3526152558,96.8713401446,156.971918082,273.0701427125,0.0,-19.99996375,-43.999959326923076,-67.99995793803419,-107.99995715678418,-175.99995547622865,-303.9999551337629,0.0,3.0,5.0,6.0,7.0,10.0,11.0
1900.0,6300.0,1000.0,3277.0,90.0,0.0619217587695564,0.0,5.092958178940651e-06,2.486795985810865e-06,1.909859317102744e-06,1.7683882565766148e-06,1.2732395447351628e-06,8.753521870054244e-07,0.0,17.2462942276,39.0747823217,60.3526180507,96.8713422074,156.971921081,273.0701454343,0.0,-19.99997125,-43.99996847222222,-67.99996722222222,-107.99996552538964,-175.99996484971396,-303.99996420116804,0.0,4.0,5.0,6.0,8.0,9.0,11.0
2100.0,100.0,1182.0,48.0,22.0,0.0309792804252122,0.0,1.2732395447351628e-06,9.947183943243459e-07,6.366197723675814e-07,4.420970641441537e-07,5.658842421045168e-07,6.366197723675814e-07,0.0,17.2463162145,39.0748040367,60.3526409515,96.8713666216,156.9719450269,273.0701688183,0.0,-19.99999375,-43.99999125,-67.99999125,-107.99999125,-175.99999,-303.99998872077117,0.0,1.0,2.0,2.0,2.0,4.0,8.0
