400_density,400_grad,800_density,800_grad,seeds,cx,cy
11157.645592041075,77.33808505870638,11669.369507542771,14.57179370435904,4,4075,8275
8626.394453407458,110.75340912159011,9406.418955447314,54.22436566109067,4,4075,8875
6970.385621611439,70.55267179007693,13226.728318978568,84.1296808543726,4,4275,1275
10908.504577871574,51.79186925184503,14212.312832413229,57.07278479382669,4,4275,2675
11588.626431461824,83.68336974866624,13541.526431474495,30.411247900059582,4,4275,5875
7244.546322131062,80.06325537520175,11596.885811508108,56.57169155808267,4,4475,3075
7041.2023505824845,64.65508433516945,12892.71192524253,42.43367730607383,4,4475,5075
5092.415209060216,26.04001923496079,10045.153145348666,14.63664428755447,4,4675,7675
15956.4526583078,142.5226868819561,19095.92979015467,19.914281080586818,4,4875,1875
4431.5679774599075,8.79879560199848,8645.343083380063,8.523210543802266,4,4875,4075
7200.012071161554,34.742037008437876,10838.140160499092,20.902891101085757,4,4875,6475
14790.041041623665,159.71431850732256,16365.472580998705,79.82902945545266,4,5075,1275
17951.957413780176,93.30643715153911,18067.417697724755,56.72016166828466,4,5075,1475
18990.288825547785,33.533439469977296,19114.003876628092,28.87867686828584,4,5075,1675
17605.304930642276,102.7938703243441,19425.308402521026,9.69195783928651,4,5075,1875
4757.630767906413,20.95351947609725,10226.522132462955,24.66569696189017,4,5275,5275
7198.721603579816,28.257505617761456,10718.629936666888,7.596101340722657,4,5275,6475
11126.067477536611,108.50471634440352,17795.788589669504,49.889193723145844,4,5475,2275
7814.611264041694,69.7870290004733,9957.879832886203,12.264506542492946,4,5475,8075
9040.238577677646,119.20502485313297,13242.157979407466,95.5127232353155,4,5675,1075
9692.921200644347,30.127387730712606,8629.194829559518,35.76233490777189,4,5675,8475
8646.354606629136,73.00690585806576,7696.665801685899,43.31152737018601,4,5675,8675
10428.264543008896,93.23602906136676,16043.751890072423,71.67141899346099,4,5875,1475
11643.66475459332,34.40177857485376,17596.523045419206,34.79992592541851,4,5875,2075
6473.640535697838,36.626106705938355,9182.337497720213,7.030274392328585,4,5875,4075
8392.077754643846,74.17875832764106,14267.202270859309,50.18200822738152,4,6075,2675
6854.176372218471,48.61612172886715,11093.486312927975,21.264717314184246,4,6075,6275
5929.911309813814,38.35156259311803,9751.437652713948,13.76069850086426,4,6275,3675
6168.184868958395,13.285986059323605,9574.612399030513,7.165866395347076,4,6275,4675
7738.38415331161,10.615090436304069,12381.136819345724,26.864840865292596,4,6275,6675
