Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y
0.11587686583462374,22.0,1.1071428571428572,4311,2855
0.0,40.0,0.8222222222222222,4316,3102
0.12149079692513111,54.0,0.8157894736842105,4313,2490
0.20426643361823607,77.0,0.7638888888888888,4306,2205
0.17200242795845427,36.0,1.0619469026548674,4280,4421
0.1325247771062493,10.0,1.065040650406504,4271,3511
0.9167661141797669,198.0,2.2966101694915255,4258,5745
0.9567262150348573,83.0,1.0538461538461539,4264,1244
0.12216062979626262,41.0,0.8067226890756303,4252,4096
0.11162028661513537,34.0,0.8538461538461538,4255,3767
0.10250394610146793,73.0,0.6601307189542484,4264,4722
0.1301194016272447,55.0,0.7792207792207793,4258,4997
0.42608924041640706,83.0,1.0774647887323943,4227,5396
0.15461690880413897,21.0,0.916030534351145,4201,1898
0.37458163352966506,77.0,1.4285714285714286,4182,1556
0.10818162084342099,31.0,1.087378640776699,4177,3442
0.11397036499992717,31.0,0.8914728682170543,4170,3118
0.11173116147352655,55.0,0.7484276729559748,4184,2818
0.09715453531103221,71.0,0.7132867132867133,4168,2540
0.11676972739527913,44.0,0.8,4157,2202
0.09000252310089311,14.0,1.1386138613861385,4137,3762
0.12148281780038934,17.0,0.8842975206611571,4127,4743
0.08988926415602534,17.0,1.062992125984252,4115,4068
0.10844344452491624,9.0,1.0275229357798166,4099,4400
0.1145600690836055,46.0,0.8053691275167785,4101,5021
0.3544953670644016,65.0,0.9727891156462585,4072,5343
0.938918430689903,194.0,1.20625,4031,5672
0.868770047029566,175.0,0.9075144508670521,4012,1259
0.9569181887683806,100.0,0.5402298850574713,3996,974
0.3682834255697782,83.0,0.7070063694267515,3937,1545
0.11718635268709336,22.0,0.9831932773109243,3876,2207
0.09479675050057461,53.0,0.7651515151515151,3881,2481
0.10036295143530855,25.0,0.9609375,3869,2798
0.15869597865558596,57.0,0.6838235294117647,3874,1850
0.10257544499999169,33.0,0.7816901408450704,3862,3123
0.10405567272214179,21.0,1.0892857142857142,3839,4043
0.10902407904838485,18.0,1.1130434782608696,3828,4401
0.10642128442139767,22.0,0.9230769230769231,3837,3759
0.08024750622395088,83.0,0.5855263157894737,3844,3426
0.10739521923943861,36.0,0.8409090909090909,3822,4702
0.13688580870991152,31.0,1.1282051282051282,3802,5019
0.8323415625648072,294.0,3.7395833333333335,3777,5507
0.1732271303390782,33.0,1.119047619047619,3787,1541
0.10925968414731736,8.0,0.9907407407407407,3760,2181
0.10853650062161986,16.0,1.0300751879699248,3746,2478
0.10299357341269123,20.0,0.8671875,3739,2834
0.14610260365921104,35.0,0.9606299212598425,3738,1856
0.10843077771223096,18.0,0.8695652173913043,3716,4372
0.11662977210855795,12.0,1.0925925925925926,3717,3743
0.10062559343901192,15.0,1.0423728813559323,3717,3465
0.10374334841679589,5.0,1.023076923076923,3714,4058
0.9538336008095152,23.0,1.1333333333333333,3683,954
0.09486453252677025,49.0,0.7266187050359713,3711,3108
0.10698167148965582,19.0,0.923728813559322,3696,4697
0.1361654906014504,55.0,0.8243243243243243,3669,4985
0.7511278128505835,122.0,1.1283783783783783,3635,5335
0.947470097204239,91.0,0.9333333333333333,3549,936
0.09773382525770245,20.0,1.0756302521008403,3500,2194
0.33036585443453054,57.0,0.7419354838709677,3466,1559
0.44746265732140655,81.0,0.6375838926174496,3467,1281
0.10010449197952777,46.0,0.8235294117647058,3438,2526
0.10239049666997709,7.0,1.0272727272727273,3430,2806
0.11113739387826732,14.0,0.9767441860465116,3424,3130
0.11471347266352828,44.0,0.803030303030303,3407,3447
0.10250883531917844,54.0,0.7593984962406015,3405,4078
0.7310616341801136,223.0,1.369942196531792,3429,5365
0.10418617507159635,11.0,0.8861788617886179,3394,4349
0.11206624672514322,49.0,0.7571428571428571,3399,3730
0.1323058945665302,37.0,1.096774193548387,3384,1880
0.1035324492179886,36.0,0.8602941176470589,3388,4718
0.15553921776538074,34.0,0.875,3364,5022
0.3091693256370321,27.0,0.8269230769230769,3348,1589
0.28174115515560916,55.0,1.3394495412844036,3324,1228
0.885259011707138,94.0,0.6125,3344,939
0.11161296003058892,35.0,0.8582677165354331,3310,2814
0.1025279731046326,24.0,0.8394160583941606,3312,2157
0.09119122095870792,44.0,0.823076923076923,3297,2475
0.09990041936874472,19.0,0.8317757009345794,3283,3442
0.10992267654502916,19.0,0.8615384615384616,3292,3112
0.09322140194894599,15.0,0.8818181818181818,3272,3739
0.09364596444170183,25.0,0.8145161290322581,3270,4082
0.10337900228647778,9.0,1.0,3262,4347
0.24302677922931917,39.0,0.9203539823008849,3246,5023
0.10889803456943575,22.0,0.855072463768116,3246,4705
0.6895736103956601,150.0,1.149171270718232,3208,5375
0.9310661400423382,159.0,1.2262773722627738,3078,621
0.45982496362413416,101.0,0.6198830409356725,3066,930
0.09269455444038653,20.0,0.8943089430894309,3036,2156
0.11087031764747471,7.0,0.9596774193548387,3027,1885
0.1345355549210422,41.0,0.7602739726027398,3031,1259
0.09930448855665752,24.0,0.8558558558558559,3008,2482
0.13271689742439777,50.0,0.7279411764705882,3015,1612
0.10038921414835451,6.0,1.0,2979,2865
0.09887358202122638,31.0,0.8345864661654135,2987,3113
0.09272447183222744,71.0,0.6,2983,4013
0.09265909144523918,37.0,0.7685185185185185,2958,3707
0.09217987056055468,27.0,1.0275229357798166,2957,3446
0.08018411416883608,75.0,0.6153846153846154,2949,4647
0.9027964770163083,214.0,1.3470588235294119,2945,543
0.6398698052876155,216.0,1.5534591194968554,2954,5362
0.09628213989966072,35.0,0.8110236220472441,2931,4395
0.10552211500472691,32.0,1.2844827586206897,2920,4982
0.18983735415299144,31.0,1.1008403361344539,2916,928
0.1005118438626384,22.0,0.9035087719298246,2894,2475
0.10998638243991071,19.0,0.9302325581395349,2889,1255
0.11466158342707569,17.0,0.875,2883,1853
0.10512657079265725,25.0,0.8656716417910447,2881,2166
0.10168361820186533,22.0,0.95,2871,1579
0.0805860374372017,39.0,0.9439252336448598,2849,3714
0.10314673855604975,24.0,1.1904761904761905,2846,2821
0.09410247743657423,8.0,0.9210526315789473,2833,4671
0.09949340522059166,45.0,0.7246376811594203,2845,4027
0.10775127059915271,34.0,0.8571428571428571,2832,3423
0.1033814531973614,28.0,0.8461538461538461,2829,3120
0.28502895755136815,30.0,1.0258620689655173,2804,4968
0.09802403815287504,44.0,0.8085106382978723,2795,4379
0.4953887906630631,168.0,1.5777777777777777,2774,5324
0.16484520386461643,14.0,1.0,2612,1555
0.7121492956896016,199.0,1.4625,2645,600
0.11604766385678077,70.0,0.6862745098039216,2625,907
0.10262297135095973,45.0,0.7777777777777778,2600,1873
0.0982818041082452,7.0,0.9203539823008849,2579,2166
0.10601710697177913,16.0,0.9206349206349206,2586,1188
0.10710217409800273,27.0,0.9516129032258065,2577,2482
0.11782738281327355,20.0,0.911504424778761,2562,4397
0.10929326289217049,14.0,0.98,2554,4040
0.10836455023063246,27.0,0.8968253968253969,2560,3434
0.10319124267361669,25.0,0.8548387096774194,2551,2793
0.1091175660802512,33.0,0.841726618705036,2553,3108
0.1116134399397356,23.0,0.936,2538,3742
