200_density,200_grad,400_density,400_grad,600_density,600_grad,800_density,800_grad,1000_density,1000_grad,1400_density,1400_grad,1800_density,1800_grad,2200_density,2200_grad,2600_density,2600_grad,seeds,cx,cy,dipole
15231.44359,164.151594,16475.50669,47.31223161,16527.5572,51.73628358,16575.53714,41.90550294,17336.84801,33.76595107,20688.04087,22.22498503,24255.04992,14.18698867,26579.00828,8.739580143,27562.51261,5.295205507,3,4875,5275,0.10676401
8800.371311,122.5201219,10956.44154,122.5530595,14161.65826,94.42325436,16101.02172,61.4444379,17757.39933,40.36022418,21200.68843,24.05603616,24278.37382,16.54573881,26289.90433,13.20351654,27158.37062,11.60955728,3,4875,6075,0
7413.468415,78.93531816,5487.021875,28.38638989,7191.070514,37.87722554,9874.179092,40.3273869,12582.68012,43.38835929,17146.62832,43.0687984,20337.66284,38.31932363,22360.62465,34.45663028,23458.05808,30.86753668,3,4875,7475,0.034508328
7582.769376,76.46092024,5565.857427,44.84151376,5558.78119,25.44339279,7333.318954,10.09912123,10147.29022,8.7363533,15705.02477,18.85422593,19774.9202,26.10015292,22375.86289,28.59668409,23783.23935,27.52417872,3,5275,3475,0.148523395
12983.81808,222.2085872,12683.52379,97.77367335,13357.4672,71.20574618,14289.84432,51.17474045,15603.85981,36.38786251,19505.97924,21.49525624,23392.47096,16.64551598,25949.96287,13.69290161,27105.21074,11.05799289,3,5275,5075,0.054335119
13408.92976,209.8829319,13168.02312,103.9389534,14141.77095,67.45074228,15034.50924,45.83894532,16201.01563,33.17459693,19826.54039,21.21148463,23578.97283,16.12746888,26077.6813,12.7886659,27200.59203,10.05033953,3,5275,5275,0.086154408
7467.738283,77.64807707,5534.915085,29.41684179,6731.04878,26.06918103,8509.26115,27.13459507,10184.38389,26.2185159,13246.92504,28.41988754,15931.85416,33.22087544,18060.81671,35.51960488,19558.4268,34.74834311,3,5675,2475,0.081334845
7506.391895,75.81681849,7017.218685,60.61571414,8918.774272,54.24014625,11093.41895,40.35638356,13406.73807,26.9873261,18077.8911,17.00997795,22029.97282,18.46767206,24653.69108,19.35726985,25957.09642,18.16384961,3,5875,4875,0.087909864
7391.419336,80.1077443,4281.847921,12.89722819,4492.423483,23.3219433,5446.866219,26.06564895,6585.241249,28.49671857,9620.445963,36.62166793,12883.07489,41.29877661,15478.663,41.07639337,17282.7928,38.42516438,3,5875,8675,0.050390557
7491.677342,76.22958638,6953.867877,54.26802354,8663.453563,65.14941092,10065.71592,53.40598044,11155.98768,41.60928355,13007.77387,32.3247302,14817.83103,33.48129289,16511.99324,35.4114406,17898.99943,35.14550829,3,6275,2275,0.041019987
10359.23224,174.2376287,7220.620069,40.94779297,6389.275966,10.43221576,7083.950549,2.673048517,8794.392281,10.09129295,13308.65884,27.92451304,16964.52315,33.87333722,19390.65298,34.94887064,20862.8335,33.37882276,3,6275,7675,0.005991293
8603.414687,110.7235737,8182.753393,57.14655335,9393.580231,22.08408126,10796.56445,4.276320013,12721.69688,11.98342375,17137.45075,17.0453773,20859.18988,21.19980624,23375.54118,23.32241488,24720.03692,22.75037914,3,6475,5275,0.027493193
10359.23224,174.2376287,7239.715155,40.24431465,6267.67204,16.11775589,7046.510217,6.489104156,9034.911986,8.941107412,13785.80015,24.4637224,17373.38473,30.93402497,19716.69193,33.08972029,21133.82372,32.21288487,3,6475,7475,0.074038129
15835.84859,197.8072864,14795.28724,90.84886759,14356.22033,47.51428121,14063.6511,28.66688613,13956.93148,19.84368012,14484.30036,21.60016492,15636.46991,28.98469251,16989.36902,33.20148821,18207.15224,33.923785,3,6875,2675,0.425881067
14115.46704,264.2980859,14573.58702,120.6374711,14429.41288,56.03276602,14202.22076,27.28537663,14198.98353,12.33712006,14953.26276,17.17727249,16253.20651,27.43593431,17671.56528,32.4716705,18890.08106,33.38158798,3,6875,2875,0.210835222
9527.57772,64.61669373,10570.98521,39.48480468,10383.88721,18.87221259,10759.37425,6.874882404,12231.71782,9.511333544,16274.92388,17.82884336,19743.02761,23.67974138,22134.45938,26.46279149,23498.37568,26.18381896,3,6875,5275,0.000909646
7391.419336,80.1077443,4143.011324,12.75392495,3899.876574,19.81562112,4895.094961,25.45933317,6195.250269,30.20574324,8758.493527,33.65488624,11165.22894,36.08862248,13243.1723,37.09756331,14895.59146,36.26535316,3,6875,8875,0.084461898
11889.13481,255.5794808,13200.18681,132.4695859,13674.05938,66.35114317,13658.31921,40.82043011,13545.06168,29.39445893,13762.3186,26.2794499,14631.81314,30.65170309,15832.26315,33.80165735,17018.96081,34.34208342,3,7075,2475,0.077406717
13176.68257,94.74907949,15702.95623,71.74849064,15285.2388,24.97992566,14622.79218,12.31838267,14254.73632,11.04072236,14463.11078,20.34194822,15415.47069,28.66087785,16647.21945,32.94576139,17814.25682,33.78016551,3,7275,2875,0.061921759
9038.967201,99.43107563,11000.24899,116.3892925,12022.37742,82.67187795,12582.95547,47.63274121,13326.12824,25.96219179,15045.9856,18.78281556,16741.72331,27.03099681,18288.06572,31.77423381,19516.24333,32.59913776,3,7275,3475,0.129344083
8270.71338,92.23114062,8426.218242,101.2937736,8962.43973,58.36773545,9862.150918,29.17317603,11472.52499,18.57749323,15256.95491,21.80746197,18421.20933,27.15244238,20663.63019,29.69797065,22042.69392,29.37111449,3,7275,5075,0.057916441
10671.5978,147.7641131,10233.31536,47.32588049,10029.85857,26.10781616,10645.19931,5.335911352,11971.58975,5.117429617,15411.25794,17.76817036,18507.27644,25.70889863,20727.65132,29.06230537,22084.71357,29.02216877,3,7275,5675,0.419735718
7392.101807,80.04442753,4465.326527,24.73125223,5429.219548,54.70553873,7346.437231,60.78860848,8714.291556,53.86620628,10027.94503,39.50843736,10929.58094,34.80398279,12011.7407,34.17201584,13203.48543,33.86739357,3,7475,1675,0.028706307
11308.28184,163.5554409,13723.18132,93.40468273,14299.15082,49.99234581,13923.16952,33.14357225,13773.43829,24.04378787,14286.8743,22.77887889,15365.23111,29.1673701,16633.95304,33.02170019,17807.66521,33.73288285,3,7475,3075,0.045432858
10363.94807,174.8147645,8291.891015,71.64362491,9148.189511,25.19526416,10545.68126,4.040451007,11936.68313,3.805679387,14996.19437,17.55931206,17814.11312,26.40646802,19907.90505,30.13951304,21249.11273,30.27607616,3,7475,5875,0.423947305
7393.378369,79.96658208,4720.285475,17.64919158,6107.852393,23.54034213,8592.455258,25.07496911,10834.26348,20.03668201,13964.03559,14.51832702,16107.32646,25.09434004,17763.40224,31.06841118,18992.61369,32.3366455,3,7475,7275,0.09189399
8223.898677,93.40730055,8177.606338,101.4121322,9321.371474,82.20212329,10421.8201,57.43257955,11606.91239,40.63507687,13873.01897,28.97640743,15761.86108,30.84706335,17360.82654,33.33402976,18628.3732,33.47125045,3,7675,3675,0.015649815
8659.032607,118.3633007,8470.464184,74.0239646,9756.509689,33.08475319,11012.93349,11.88290563,12081.35847,2.997985909,13791.90824,17.849129,15400.47862,27.29112604,16890.29582,31.91089895,18096.69661,32.77332286,3,8075,6675,0.258202497
7397.62001,79.6504358,5284.609584,51.95694291,6909.586264,71.48614686,8639.498849,63.97231917,9774.089889,52.19489716,11261.56434,37.63288517,12557.15654,34.70849175,13858.59096,34.80407557,15093.53176,34.42922744,3,8275,3075,0.044642577
