200_density,200_grad,400_density,400_grad,600_density,600_grad,800_density,800_grad,1000_density,1000_grad,dipole
8776.274818,121.6890325,9020.873156,78.38198979,11629.65858,32.72694558,15174.50335,27.32075162,18088.28375,28.41271005,0.137120295
10381.28375,176.5860286,8511.413388,80.82548928,8859.148783,43.59064199,9976.437841,26.73887631,11449.48822,17.68727792,0.108528459
12077.73278,199.6338787,8492.72092,41.17303979,9484.057144,10.71048237,11528.95412,33.10141323,13409.97039,44.24755452,0.22961945
8226.583989,94.32161809,9107.518466,102.5459216,12698.30819,76.59707547,15932.76129,52.04442147,18514.35151,35.35269677,0.123774827
12081.97442,199.0451544,8752.774632,26.78133055,9463.043481,10.08222141,11245.46271,33.50368586,13075.37734,44.68455192,0.022918685
7398.417777,79.57223392,5228.280484,48.21824267,5989.626766,54.41387209,7050.375964,51.55224803,8352.448925,51.57489963,0.063019274
9884.936316,58.51941128,14298.50797,91.5494862,16557.01452,52.3720936,17964.19517,23.23634217,19323.14115,18.55186491,0.037463025
7395.660977,79.79065375,4517.581261,24.11541676,4041.625494,27.05321841,4503.695956,32.76824144,5522.5099,36.35838343,0.008938437
7395.663411,79.79028201,4844.499833,13.20765546,5970.535749,17.95956317,7467.277752,25.59860289,8780.871938,26.89827971,0.024736048
14105.99774,247.9236858,15212.65781,114.8757993,15967.42643,82.01974394,16608.85472,54.55138329,17821.18366,38.17395029,0.291819558
10537.34741,79.56604355,13547.00984,51.17192668,16010.74263,47.38721536,17704.22794,29.97257847,19181.3657,23.33934637,0.317425998
9963.984725,69.46780523,11336.47239,54.66915026,13436.63343,55.50547282,15957.0455,48.94646952,18193.51766,38.70903173,0.064926374
8604.968582,110.9388164,8512.84349,61.54485825,10958.89169,50.23356055,13926.63425,50.15264655,16661.8432,45.42288415,0.02260132
17154.66695,129.7693343,16485.91046,68.99157751,16661.2487,61.71214113,16795.99935,46.23746886,17667.35236,35.44170171,0.373417639
7396.863882,79.67241034,5336.940468,35.1329569,6727.567507,40.68966901,8357.415531,38.99230771,10070.98302,42.7454709,0.033951511
7582.83843,76.45337394,5794.130261,36.92874043,6298.968783,14.47734908,7705.680993,11.37946224,9833.392694,1.072835157,0.013776016
15231.44359,164.151594,16475.50669,47.31223161,16527.5572,51.73628358,16575.53714,41.90550294,17336.84801,33.76595107,0.10676401
8800.371311,122.5201219,10956.44154,122.5530595,14161.65826,94.42325436,16101.02172,61.4444379,17757.39933,40.36022418,0.0
7413.468415,78.93531816,5487.021875,28.38638989,7191.070514,37.87722554,9874.179092,40.3273869,12582.68012,43.38835929,0.034508328
7582.769376,76.46092024,5565.857427,44.84151376,5558.78119,25.44339279,7333.318954,10.09912123,10147.29022,8.7363533,0.148523395
12983.81808,222.2085872,12683.52379,97.77367335,13357.4672,71.20574618,14289.84432,51.17474045,15603.85981,36.38786251,0.054335119
13408.92976,209.8829319,13168.02312,103.9389534,14141.77095,67.45074228,15034.50924,45.83894532,16201.01563,33.17459693,0.086154408
7467.738283,77.64807707,5534.915085,29.41684179,6731.04878,26.06918103,8509.26115,27.13459507,10184.38389,26.2185159,0.081334845
7506.391895,75.81681849,7017.218685,60.61571414,8918.774272,54.24014625,11093.41895,40.35638356,13406.73807,26.9873261,0.087909864
7391.419336,80.1077443,4281.847921,12.89722819,4492.423483,23.3219433,5446.866219,26.06564895,6585.241249,28.49671857,0.050390557
7491.677342,76.22958638,6953.867877,54.26802354,8663.453563,65.14941092,10065.71592,53.40598044,11155.98768,41.60928355,0.041019987
10359.23224,174.2376287,7220.620069,40.94779297,6389.275966,10.43221576,7083.950549,2.673048517,8794.392281,10.09129295,0.005991293
8603.414687,110.7235737,8182.753393,57.14655335,9393.580231,22.08408126,10796.56445,4.276320013,12721.69688,11.98342375,0.027493193
10359.23224,174.2376287,7239.715155,40.24431465,6267.67204,16.11775589,7046.510217,6.489104156,9034.911986,8.941107412,0.074038129
15835.84859,197.8072864,14795.28724,90.84886759,14356.22033,47.51428121,14063.6511,28.66688613,13956.93148,19.84368012,0.425881067
14115.46704,264.2980859,14573.58702,120.6374711,14429.41288,56.03276602,14202.22076,27.28537663,14198.98353,12.33712006,0.210835222
9527.57772,64.61669373,10570.98521,39.48480468,10383.88721,18.87221259,10759.37425,6.874882404,12231.71782,9.511333544,0.000909646
7391.419336,80.1077443,4143.011324,12.75392495,3899.876574,19.81562112,4895.094961,25.45933317,6195.250269,30.20574324,0.084461898
11889.13481,255.5794808,13200.18681,132.4695859,13674.05938,66.35114317,13658.31921,40.82043011,13545.06168,29.39445893,0.077406717
13176.68257,94.74907949,15702.95623,71.74849064,15285.2388,24.97992566,14622.79218,12.31838267,14254.73632,11.04072236,0.061921759
9038.967201,99.43107563,11000.24899,116.3892925,12022.37742,82.67187795,12582.95547,47.63274121,13326.12824,25.96219179,0.129344083
8270.71338,92.23114062,8426.218242,101.2937736,8962.43973,58.36773545,9862.150918,29.17317603,11472.52499,18.57749323,0.057916441
10671.5978,147.7641131,10233.31536,47.32588049,10029.85857,26.10781616,10645.19931,5.335911352,11971.58975,5.117429617,0.419735718
7392.101807,80.04442753,4465.326527,24.73125223,5429.219548,54.70553873,7346.437231,60.78860848,8714.291556,53.86620628,0.028706307
11308.28184,163.5554409,13723.18132,93.40468273,14299.15082,49.99234581,13923.16952,33.14357225,13773.43829,24.04378787,0.045432858
10363.94807,174.8147645,8291.891015,71.64362491,9148.189511,25.19526416,10545.68126,4.040451007,11936.68313,3.805679387,0.423947305
7393.378369,79.96658208,4720.285475,17.64919158,6107.852393,23.54034213,8592.455258,25.07496911,10834.26348,20.03668201,0.09189399
8223.898677,93.40730055,8177.606338,101.4121322,9321.371474,82.20212329,10421.8201,57.43257955,11606.91239,40.63507687,0.015649815
8659.032607,118.3633007,8470.464184,74.0239646,9756.509689,33.08475319,11012.93349,11.88290563,12081.35847,2.997985909,0.258202497
7397.62001,79.6504358,5284.609584,51.95694291,6909.586264,71.48614686,8639.498849,63.97231917,9774.089889,52.19489716,0.044642577
11568.53985,126.8095507,10730.58754,18.11622991,10502.39555,16.85970552,10905.82576,16.21002485,11510.12875,21.21535039,0.222068718
10631.07381,199.9021953,10351.06231,132.3109002,10439.87768,48.86955004,10632.02629,5.678258665,10871.36142,14.56932494,0.041058171
10631.07381,199.9021953,10266.55678,136.710703,9547.300627,73.4751234,8798.511231,44.4554341,8523.761898,35.83379161,0.179386169
10438.16988,181.1610068,8964.007391,89.65872042,9356.412746,47.55180134,10200.3132,30.96039877,10960.42522,29.05033262,0.053789417
14592.55884,129.8077574,13753.27306,85.27813445,11559.28222,30.80560965,10510.38331,15.10409567,10214.15092,23.38206297,0.199330193
14592.55884,129.8077574,13739.73529,86.21437549,11240.69272,43.82925591,9708.98063,32.53871869,9125.306971,31.69957968,0.042042945
12075.04503,199.7197358,7466.418441,38.22867572,5530.457594,18.33175309,5147.793905,25.28056702,5485.245524,32.00584493,0.014057696
12075.04503,199.7197358,7478.318287,37.24411129,5670.757306,12.35169686,5473.795168,25.00473872,5926.77391,33.42335076,0.057336673
12075.72994,199.8025974,8052.553754,62.22362266,7496.539692,56.64152022,7846.696482,49.91676367,8483.834803,44.83280026,0.003765441
12097.16317,197.22251,8953.503429,35.45705927,8524.49774,50.12237401,8604.107368,46.5587856,9052.280984,43.13125162,0.00832919
13709.74523,250.9957892,13125.87852,120.1658329,11040.90164,54.034185,9717.689309,35.45879883,9227.829874,32.82534289,0.578468397
7563.280455,75.18806135,7109.052064,94.8823756,7526.389224,67.53649424,7960.244531,48.92963389,8628.72355,41.79547545,0.0
8701.01618,109.1819095,7918.221699,68.89514458,7900.676929,58.03303517,8558.886785,52.82856563,9400.516076,47.95682287,0.0
8600.046904,112.6712396,7383.771029,71.28789924,7642.883554,59.25953429,8316.126228,55.101015,9062.197179,50.07877623,0.0
7467.669229,77.65647581,5336.052426,43.65799109,5498.550516,46.15622743,6050.389664,44.34580149,6608.277893,41.0217946,0.070894834
7391.419336,80.1077443,4052.229848,11.13055214,3699.319347,24.35982014,4598.695581,33.69591112,5828.239995,36.06880752,0.022147349
12215.42188,211.5286674,10105.1095,72.54273588,10018.92534,21.69862189,10105.88807,15.63614194,10508.56061,24.91279752,0.011478973
13340.55873,130.760043,11265.05696,40.02156438,10322.10938,10.73421865,10287.37025,10.07591918,10801.66922,22.24867039,0.033464683
8779.225107,122.8860201,9316.479876,88.15776575,9546.847809,32.49537084,10110.22043,12.85330926,11086.65787,20.02463747,0.016949577
8361.018168,82.8096804,9688.90985,29.10007778,10896.96591,29.0189582,11630.93239,27.63285996,12379.71053,29.38398769,0.068545173
8146.966313,91.08037715,6797.067729,54.37727067,7657.859057,52.32149815,9276.612332,51.35681453,10859.91187,45.86576986,0.017983112
7468.3517,77.59203024,5773.773342,35.80352246,6679.472928,34.66263651,7705.537946,36.64756942,8649.604569,38.05784576,0.061129392
8901.960571,98.01210956,9338.077594,65.07684511,10399.4366,40.45710047,11744.07531,24.43612634,13163.03491,16.50532809,0.080800071
