 ,XM,YM,BX,BY,Width,Height
221,1207.429,2430.412,1165.450,2389.401,80.600,84.500
222,1842.709,2430.934,1806.351,2389.401,74.100,85.150
223,1611.458,2436.238,1565.201,2392.001,91.000,87.750
224,1418.153,2445.429,1381.900,2408.901,71.500,71.500
225,1002.817,2463.258,954.200,2421.251,93.600,83.850
226,3560.793,2456.934,3456.701,2423.201,236.600,64.350
227,3263.249,2473.219,3219.451,2433.601,87.750,76.700
228,3056.924,2485.165,3019.251,2441.401,73.450,86.450
229,2228.716,2500.050,2198.301,2448.551,59.150,100.750
230,2443.920,2494.908,2403.701,2450.501,79.950,86.450
231,2861.099,2489.567,2819.051,2450.501,85.150,76.700
232,2628.823,2495.978,2587.001,2459.601,81.250,74.100
233,2030.523,2510.698,1993.551,2462.851,74.100,94.250
234,1203.951,2519.300,1171.950,2473.251,61.750,90.350
235,1820.237,2515.068,1777.751,2473.251,82.550,85.150
236,1614.152,2523.335,1580.151,2480.401,66.300,87.100
237,1435.385,2520.279,1398.150,2481.051,78.000,78.650
238,1005.632,2559.033,966.550,2505.751,74.100,104.000
239,634.339,2596.512,601.900,2539.551,63.050,115.050
240,819.678,2608.387,756.600,2540.201,104.000,114.400
241,3685.328,2620.822,3627.651,2578.551,127.400,105.950
242,3473.478,2648.281,3428.751,2603.251,94.900,96.850
243,3264.220,2666.522,3225.301,2619.501,79.300,98.800
244,2860.900,2665.129,2824.251,2629.251,74.750,72.800
245,2645.117,2675.992,2600.651,2634.451,89.700,83.850
246,3083.474,2683.447,3048.501,2643.551,71.500,80.600
247,2445.715,2689.244,2407.601,2656.551,76.700,66.950
248,1432.371,2702.884,1394.900,2657.201,74.750,92.950
249,1650.827,2709.982,1617.851,2662.401,68.250,94.900
250,1832.811,2719.828,1794.001,2668.901,78.650,104.650
251,2027.043,2710.415,1990.301,2670.201,75.400,85.800
252,2237.597,2715.618,2200.901,2680.601,74.100,68.900
253,1012.093,2718.982,957.450,2683.201,106.600,74.750
254,1235.188,2731.602,1194.050,2688.401,79.950,87.100
255,3508.438,2748.268,3456.701,2703.351,102.050,94.250
256,3248.805,2767.447,3209.051,2717.001,79.950,102.050
257,3069.377,2771.230,3037.451,2720.251,66.300,101.400
258,2448.976,2765.513,2412.801,2722.851,74.100,85.150
259,2663.207,2764.269,2630.551,2723.501,64.350,79.300
260,811.127,2770.775,762.450,2726.751,91.000,86.450
261,3734.594,2767.958,3640.651,2729.351,178.750,78.000
262,2283.213,2776.487,2239.901,2735.851,87.100,81.900
263,2873.863,2782.505,2835.301,2744.301,79.300,74.750
264,1434.316,2798.774,1394.900,2749.501,74.750,95.550
265,1619.514,2803.398,1578.201,2752.751,81.900,100.750
266,2017.218,2805.711,1980.551,2760.551,74.100,89.700
267,1855.984,2802.460,1815.451,2765.101,82.550,74.750
268,1037.458,2849.810,982.150,2785.251,102.700,121.550
269,1206.038,2858.018,1167.400,2809.951,76.050,95.550
270,3719.242,2903.560,3636.101,2822.301,176.150,169.650
271,3473.785,2934.816,3421.601,2889.901,107.250,92.300
272,3272.168,2947.717,3224.651,2893.801,95.550,108.550
273,3068.576,2961.354,3029.001,2912.001,79.950,102.050
274,2041.309,2962.534,2002.651,2912.651,78.000,101.400
275,2441.288,2983.162,2410.851,2941.901,61.100,83.850
276,2262.487,2984.170,2234.051,2947.101,55.250,74.750
277,1827.481,2992.028,1798.551,2949.051,55.250,85.150
278,1450.367,2997.995,1409.850,2949.701,79.300,97.500
279,2825.212,2993.937,2787.201,2952.951,75.400,81.900
280,2660.395,3017.083,2619.501,2962.051,85.150,110.500
281,1635.890,3001.353,1606.801,2964.001,59.800,75.400
282,841.114,3002.628,807.300,2965.951,61.750,75.400
283,3502.499,3034.899,3467.751,2988.701,68.250,92.300
284,1212.506,3025.289,1159.600,2991.301,101.400,63.700
285,983.251,3032.089,911.950,3004.301,159.900,59.800
286,3705.724,3088.636,3643.251,3012.101,131.950,131.300
287,3048.724,3068.181,3009.501,3016.001,75.400,103.350
288,3288.754,3064.361,3261.051,3017.301,59.800,96.850
289,2877.378,3056.652,2836.601,3018.601,82.550,77.350
290,1669.136,3072.417,1635.401,3024.451,69.550,94.250
291,2047.808,3076.694,2003.951,3024.451,87.750,104.650
292,2447.515,3076.310,2414.101,3027.701,66.950,97.500
293,2294.349,3075.491,2249.651,3028.351,92.300,91.000
294,1833.258,3078.252,1799.851,3036.151,67.600,86.450
295,1462.977,3094.309,1433.901,3048.501,61.100,91.000
296,1271.978,3120.956,1245.400,3064.101,51.350,133.250
297,1011.592,3174.093,969.150,3087.501,80.600,159.900
298,3297.207,3239.346,3248.051,3197.351,99.450,86.450
299,3526.073,3231.974,3455.401,3198.651,145.600,83.200
300,1427.396,3259.426,1391.000,3201.901,74.750,107.900
301,2826.761,3240.027,2771.601,3203.201,109.200,74.100
302,3077.996,3248.892,3031.601,3203.851,94.900,91.650
303,2449.053,3251.936,2417.351,3206.451,64.350,90.350
304,1250.169,3273.004,1210.300,3209.051,74.750,126.750
305,2239.479,3274.315,2204.151,3224.651,69.550,95.550
306,1889.755,3271.658,1853.801,3228.551,70.850,86.450
307,3680.568,3281.666,3634.801,3230.501,99.450,100.100
308,1678.904,3269.518,1639.951,3231.801,80.600,74.750
309,2046.824,3277.211,2020.201,3235.051,53.300,81.900
310,2656.237,3300.152,2613.651,3244.801,85.800,111.150
311,849.926,3303.505,814.450,3275.351,76.050,52.000
312,3268.445,3347.840,3230.501,3294.201,79.300,105.950
313,3072.671,3351.404,3032.901,3296.151,79.950,111.800
314,1022.662,3329.308,976.950,3297.451,92.950,75.400
315,3506.103,3361.217,3438.501,3297.451,155.350,146.900
316,2883.364,3341.216,2841.151,3302.651,85.150,76.700
317,2269.616,3361.577,2232.101,3315.001,77.350,92.300
318,2064.740,3368.872,2023.451,3317.601,89.700,102.050
319,2683.411,3367.072,2648.751,3318.251,66.950,92.300
320,2450.971,3380.817,2414.751,3320.851,71.500,121.550
321,1865.480,3371.566,1829.101,3321.501,70.200,99.450
322,1657.881,3391.464,1615.901,3339.701,78.650,98.800
323,1241.800,3420.978,1199.250,3350.101,76.700,143.000
324,1040.790,3419.760,999.050,3379.351,85.150,86.450
325,821.956,3460.874,763.100,3401.451,115.050,113.100
326,1121.537,3489.438,1055.600,3426.801,139.100,174.200
327,1451.681,3545.142,1408.550,3472.951,76.700,130.650
328,3308.921,3552.860,3241.551,3478.151,124.150,186.550
329,3533.911,3592.425,3446.951,3497.001,156.000,206.050
330,1626.407,3544.084,1572.351,3497.651,102.050,97.500
331,1250.999,3551.030,1217.450,3500.251,73.450,111.800
332,2725.025,3550.834,2672.801,3508.701,105.300,97.500
333,2834.163,3554.226,2780.051,3510.001,114.400,91.650
334,2422.746,3569.827,2364.701,3523.651,126.100,100.100
335,3125.261,3576.946,3072.551,3530.801,104.000,92.950
336,2110.721,3592.048,2059.201,3541.201,97.500,108.550
337,868.432,3618.779,840.450,3564.601,52.650,104.000
338,2696.306,3682.022,2650.051,3580.851,76.700,204.100
339,3743.074,3629.325,3665.351,3584.751,147.550,98.800
340,2900.365,3686.797,2834.001,3589.301,124.150,197.600
341,3108.688,3718.784,3035.501,3596.451,120.250,215.800
342,2420.036,3727.733,2368.601,3608.801,119.600,195.650
343,1888.702,3714.505,1837.551,3616.601,100.100,195.000
344,2225.326,3723.412,2180.101,3621.801,98.800,182.650
345,1700.378,3721.308,1643.201,3623.101,99.450,192.400
346,2042.452,3736.505,1997.451,3625.701,88.400,203.450
347,1434.375,3742.496,1398.800,3628.951,80.600,230.100
348,1227.115,3782.654,1177.800,3664.701,99.450,241.800
349,1046.480,3759.933,1012.700,3667.301,68.900,183.300
350,1282.548,3889.322,1235.650,3820.051,88.400,137.150
