dx,dy,fx,fy,patternID,grad100,density100,grad200,density200,grad300,density300,grad400,density400,grad500,density500,grad600,density600,grad700,density700,grad800,density800,cdx2Dipole
5800.0,1800.0,2726.0,711.0,0.0,0.0059837354295703485,53.351335531748326,0.0036508717301021384,16.745265025883672,0.010587117721422087,9.414675242016127,0.014614143483343325,7.692610238455308,0.014163667078409225,6.9301255492724945,0.01190474824918565,6.386238064581982,0.009430844865693488,5.945202651697674,0.007334665224519211,5.56542173569455,240.6075643033693
5800.0,7200.0,2806.0,3467.0,0.0,0.0960015894070335,56.04147440012204,0.08534828913523357,23.1029486702437,0.030015699985227802,12.693572344776745,0.010660455211254983,8.005016163076125,0.0039038061609891045,5.795149461465819,0.0018922867434021746,4.7099826701305645,0.0012199622141781346,4.153341035254531,0.0005779793565806612,3.884910200134027,41390.078001859336
6000.0,4800.0,2873.0,2261.0,0.0,0.0127686656059941,53.463635474138634,0.04843196615935501,19.175967762999434,0.0274477317372681,11.716581701712398,0.01535176202668386,9.058222642397554,0.00844316634109863,7.759346316678196,0.004083371407275971,6.904834636986142,0.0015160247539372394,6.291861774108544,0.00026996050405862266,5.879508011329045,5228.4980634977765
6000.0,7000.0,2871.0,3382.0,0.0,0.09600158940703485,56.04147440012204,0.08534828913523357,23.1029486702437,0.029796530402866617,12.706180213021899,0.01045757746266866,8.026143107213567,0.00460854522859337,5.757734595930747,0.002960936874073891,4.620257980043353,0.0019740001610694486,4.0730182317096775,0.0011076468868849944,3.8638102508754604,21027.859995729475
6400.0,2200.0,3005.0,901.0,0.0,0.3322059312870822,68.01320462093804,0.10494069551172247,35.216030951946074,0.048462787547533775,22.545139314613007,0.024245104512454072,16.383814546514227,0.013715991742710898,12.870018719795395,0.008531789325177693,10.591013832663835,0.005636112290613785,8.977209455797631,0.0038888986416045716,7.779761157482668,13722.86741173287
6400.0,2400.0,3010.0,1034.0,0.0,0.3886835281705409,65.6173396006411,0.14295320978097092,31.42711996846849,0.06700452444405418,21.29888422980375,0.03320332996742733,16.139906064438406,0.017742395125893855,12.875955472710077,0.010215964248858792,10.646148478381956,0.006130265013469729,9.043514887641333,0.003708705464387932,7.856996968962588,70217.87542357003
6400.0,4800.0,3061.0,2250.0,0.0,0.004660109601190015,53.49223753415389,0.013219203708127293,21.202724574110444,0.008292988492450347,15.118223892203686,0.009870792733321832,11.706056433346978,0.006270961890629392,9.313787785557954,0.003235797548819843,7.658028970464809,0.0015662957370512864,6.577928631546207,0.0008299623302419439,5.9215990965780545,2343.3010903424256
6400.0,8400.0,3138.0,4074.0,0.0,0.0059837354295703485,53.351335531748326,0.0005482279456296295,16.5327114223525,0.0005488265189626045,7.70617215104884,0.0024304284019956357,4.594608890814572,0.0035047411784140284,3.355024199817633,0.0036088110063383473,2.8781523751789133,0.003511497278874687,2.729453443811502,0.0034918619749364907,2.7080170300846653,29039.01301697425
6600.0,2000.0,3167.0,770.0,0.0,0.0979799459357497,56.090462590810674,0.13568604851164534,26.421444235384257,0.0733079385224682,18.730017618192992,0.03644909967598024,14.612700551870367,0.019885355473854893,11.971204934404327,0.012134038919810314,10.086936405561481,0.008015928410407035,8.662499770339586,0.005600522440114869,7.555278051388028,6409.444281683085
6800.0,2400.0,3277.0,1000.0,0.0,0.09349464632317259,56.16806233395174,0.0404471489080967,29.259108177731488,0.03899451300312215,22.456477910543004,0.01939466051213451,17.398144114062305,0.008987073575179163,13.813396691757948,0.004363501798762243,11.280630811248868,0.0023610769975989563,9.444805702906566,0.001546544482255907,8.091095555817905,20120.24850741163
