d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole
11236.5438229881,236.92787340426744,12440.193225176617,181.2027123058787,17124.06184631464,191.46005921708914,23490.23342339858,196.52868774122632,30193.849007946705,194.17022481430044,0.5527167603855244
16617.61593068205,81.23269012790148,23961.24707002947,67.57560537513099,25966.197496962726,97.45501256004849,28194.488689580536,123.7700578824061,31585.573964262454,140.07217169307424,0.0
16536.364327284078,175.417188738081,19244.468414464467,116.0399466430835,23391.459530594922,108.67753834847292,27868.453301382287,125.88584487369677,32264.097979060047,141.5596106005809,0.0519322620268045
12461.859168419884,207.5699818643264,14495.176716584645,84.58716978129773,19922.96440289751,105.226295180674,25576.005639456384,131.3553509293476,30662.968999773813,146.73489234987449,0.0193815351651143
13665.802905909051,123.79084253119615,15441.911072307274,89.84470848285349,20071.37135107887,109.68538225215654,25178.154539458963,132.14526598006714,29922.553307741895,146.83681186786208,0.2342710857875674
18154.152685574805,196.12843607901027,24687.987683909076,113.16332485264115,30194.016517411972,147.23397395656784,35521.86884783837,177.09707379272047,40098.83642431644,184.9934200406465,0.1056819575198436
14113.282677313122,208.96261713633515,19676.924864358563,144.24494057722998,25689.665236332206,181.16276401368515,31816.706315211475,197.37203222043408,37678.8429764318,196.6749826756459,0.1035594267420276
16073.614273928119,107.412302413284,18258.105364296847,149.11099564857003,23673.2878247884,190.66135603684705,30020.362335475984,200.89676352415475,36316.28178928726,197.0841303123964,0.056794284333264
14273.129088712967,44.5085718883137,21692.15768460546,108.49097412410026,25202.48779423284,103.80512596453994,28847.89242954779,119.34281378037437,33340.074225626406,133.79593221408936,0.2917173352793392
13658.244267177344,210.86147980966842,21355.587124918646,115.4492720182202,26540.762420772393,70.14544524484103,31150.294194821316,102.48808076450204,35638.570553465295,129.25113193553392,0.0521955286072019
15172.542892604124,372.93987356768054,20795.86592753305,264.67510826457857,24874.23923815794,218.85951788463674,28051.155667370705,197.99760731441134,30886.7580916944,186.69917022823302,0.372933990757779
17328.9692990719,284.7995008487437,27108.26702618655,57.6792868566136,34376.38744700122,106.6498097345074,38942.12891429746,146.43253017547212,42270.059763826415,165.2266400869522,0.931749632739272
18838.012215425948,112.77781343997125,25586.31438587921,50.62686124971424,33127.709484577914,101.29730026663182,39613.89612897232,153.33100266716576,44546.91698916554,170.38351616477118,0.1006160410184891
8757.873507204193,111.99313054130761,11782.826119746505,108.4407980844265,18900.849079789972,112.91528982371247,26792.78044308319,121.66202289279592,34129.0896301851,132.91706622135757,0.0007222554530236
11969.914102437215,148.47769453870748,17604.689701753043,126.63136211277119,23899.79322342602,107.6932057087712,29713.577002607664,112.0000147808331,35540.21680635194,124.9283166278907,0.1366064100791217
15094.37859585619,69.99075355665956,22231.75862887177,98.6199854227311,28497.929352045197,19.799613677150752,33203.25792823617,82.73296620953052,37918.22636266183,116.36509619416181,0.0280668145661251
13223.530729091088,144.00132727928204,17970.149882977785,20.58068935214861,24646.551816899104,66.49464729355856,30711.25164639807,110.65943283438784,35694.1483960011,134.4043951635749,0.1252583082867817
14434.077075767962,213.08356251815144,18716.46178618575,74.56719552643024,22175.459129778985,101.74311477429619,25168.559489960757,131.36376735254277,28128.072999841304,145.37011739069285,0.0288401418610507
13945.49626661699,230.1244097900143,17200.218133644114,143.83101524479775,19878.807246822686,130.61389727955077,22548.339198654958,140.48055217311673,25368.266674252987,147.3260272511714,0.3495189197076757
21926.163229537833,322.4927782487492,24475.85080446509,250.80640395433457,27516.037830706882,210.8664752000441,30518.136131639945,195.6673889568386,33403.39318978898,187.77298212235732,0.5017824738957495
24395.59206130994,260.2337716610714,30014.451989787896,87.14073875886993,34537.83733193472,119.95912192795454,37920.62290406649,154.03664782847935,40736.01239283151,169.35720729822157,0.3901168971907585
23761.453250113944,171.4824961158726,29153.302056922705,73.47544734622734,36005.04718515745,80.64435384558737,40393.851779974466,133.23426994112435,43583.51631126187,158.64765597195827,0.1771393615661244
19127.077289924782,343.34634961307887,27456.426799135756,74.4474054475764,36413.66051695876,58.90399530108357,42031.03066491249,119.49298430895549,45788.9200369617,150.49601796590815,0.0248541334918536
15046.395834153223,265.99983696345333,24499.71921683514,69.91100336007027,34990.54479287713,62.243492232619026,43084.957425893495,126.78430499139047,48573.455100775434,151.37658055212236,0.0401543316534817
13608.158763156956,49.65870364797391,23687.298165130975,15.03160119742254,33701.28281380799,102.43923740492794,41656.51082915238,151.99475344858396,47691.801543981586,165.33908436516413,0.0765653082716449
10365.319148230015,59.668832713258595,20996.350918146116,140.52967075276027,29659.13268696729,182.47948546941558,36995.28197700747,185.31316964440475,43729.42092733493,177.6131548342144,0.1576344951421991
8228.483155309288,85.25722904382478,10657.169075379426,100.81637881201225,20119.611585824165,149.53798544594682,29706.434608425003,150.10789450144338,38113.88921265712,148.5753579605116,0.0106852663202189
12936.519725299433,210.38759083800838,19922.22425824038,76.10559921301689,28734.21762943349,11.797670778902429,34979.67184217865,66.68371988984643,40590.872101859306,102.78708523592829,0.0029234171174833
7696.006152180807,70.11050445888773,13793.925371601968,28.667803750825513,25306.011347730626,49.5501959834927,34468.9020884686,87.24245265120695,41430.257950507956,113.40072126863286,0.0821044843710817
13280.467964171869,139.2986205321281,18325.298801081743,22.15749452611206,26165.058875335573,57.85256116940028,33299.08670616802,102.05737110061862,38719.87214302989,126.35333332765221,0.0724570873808457
21302.734784275508,379.8299986534536,26025.224407545207,232.7064894898301,29187.02691791534,202.63703917716018,32353.509664335674,193.52485811676715,35469.57010181362,188.69753059371968,0.0505605240784257
25210.234012238343,237.4132578533542,30136.109959671005,94.79552701443657,33417.1805620729,146.85526981985146,36610.63180720785,169.17554785898614,39622.047673655856,177.64833576182428,0.0248708804606943
23146.987807020025,370.97823622830464,30730.63734677612,46.15033658607707,36088.525920520806,85.9954418519536,40067.93989858436,140.34377191651419,43286.94941731893,163.13936292636387,0.3638504944818583
12523.977236787923,93.57276538897399,24315.013253297944,55.7188368151869,35719.91063256864,111.49907261844848,44067.10118950996,142.8673397900032,50513.47819727726,152.28504166168057,0.0342237237557873
10073.558923040526,74.2674553672726,19157.64830140458,215.3169836747866,28702.086131605243,198.59127329553903,36806.38618726617,170.31431414359605,44311.87210000211,155.87207356324691,0.0517123863299303
13317.575486133888,248.22404750053428,18324.79861954758,83.14134827449854,25919.34070960465,55.10924339925591,31532.18455992743,115.47076515568249,35563.2321085747,139.13412977100066,0.0549464990871052
15984.157676528708,120.58176005886739,19784.087849174135,55.87321150540273,24523.016614194363,75.31606665083211,29037.668976651734,128.7795987745846,32693.763943528833,147.1274341796813,0.0227849980652207
14454.152112717302,187.2290426158232,17196.734151714536,152.02818368027718,19383.533861470874,138.8976672520447,22585.41583896917,151.37977094136696,25964.34206818496,156.282359925164,0.7109169208378249
12243.859939988342,255.58574212193733,19359.154151868057,112.30184922581978,28904.59047015387,38.32737883546695,38146.364874374776,49.55854159543705,45957.0654301529,79.92413337221208,0.0386067126123605
15548.89639734703,305.1348864521651,19701.101865474287,90.5728412034164,29305.1384977936,90.33253743863564,38623.61310550344,87.29629559907139,45912.89336563141,99.23479456964276,0.3843635004945492
17641.036732208882,208.36336116694756,20164.255265385484,59.465978994529124,29596.764197054577,88.25331328764737,38463.829167662756,90.47009752173477,45157.00074270436,103.91458003013294,0.0281572951789014
14312.778687531412,156.12609650124097,17243.886708228776,121.55511417520525,19895.161802791892,135.7920876077913,23636.58080148503,156.02017346312715,27395.742290829166,161.34645002690905,0.1831840258995938
16174.747497879785,189.1570930284868,24847.34120416972,214.9596484519686,29821.43089107071,197.46280745092443,34183.34100371876,194.263122325331,38154.39502671435,192.45904095654464,0.3854666973588372
15386.763822996587,148.00873439008015,22086.483354548087,26.931284535511356,37363.42278239085,21.958394775148978,49321.190467641376,57.439678490547195,56541.96528647575,88.83235283244915,0.097701384384027
13366.282051261456,218.87577804767702,22453.581625046085,53.1444576574059,37808.45511221374,46.20567162601133,49876.310184489295,61.98619427497852,57386.45573949034,85.77073793384265,0.1337144190219929
19363.002425548217,254.77221908882532,31020.906504386912,154.58983025212527,40971.787031318985,98.2270287781929,48710.639858482595,105.97318755302723,55458.89908613801,115.16312929841348,0.0815616234972167
22805.647666403678,236.8968767477304,32411.535149598647,150.19374495498758,40274.673869232975,116.67956112773348,47216.51827465168,119.91322432181576,53940.34707181394,121.70303142041185,0.0205108402822485
23123.326299175973,338.3257081786424,31670.897706579715,186.81445888233876,38489.505385825265,142.39986480729468,45247.42503796975,130.29419557962999,52193.41594410818,124.4693715696743,0.0254838992161481
15865.418975128337,199.85845984618723,18524.77217721005,115.41295946610381,26907.430216055727,65.411699518893,35853.65700450172,51.870461828056975,44442.544695039105,65.49498100986408,0.1675637069795545
14304.25373676899,251.0593689618829,19321.216518154695,102.32670930694972,27896.114838369194,61.570986613087925,36443.18504063409,50.939240313769005,44734.50971332295,64.03788076622676,0.0886875051377085
17835.72894672483,232.53744329445172,22495.343780335777,73.67720748794571,29994.19878986578,26.366238742050548,38989.07892314316,41.65573246251277,47214.985268551,68.11145039317054,0.0370988468905364
15617.412955264133,286.49090999127134,21992.4359853343,105.8570311462979,32011.171965291003,104.15230532313721,40640.08800142201,85.22361778977599,47442.18407474477,94.35705458181178,0.2109589909048036
18399.281137979557,263.8599331054693,23815.206495515602,213.87483391151835,29256.10498357022,198.08389107531897,34348.120521796496,196.69458300438563,38799.778928723,195.38061027952796,0.2580891575076674
18284.105296212176,338.39579219919517,27668.58769822973,52.378903886087116,36047.00262727227,76.58579292140102,42699.42104761128,133.90712641971527,47674.73480463991,159.16351401180944,0.0486547396356499
14433.223046916686,96.31614875436657,22985.93260241022,32.72783450707762,37617.05144505103,13.834410819674764,49277.8888550571,57.938484789982915,56523.377480481635,91.60055533229178,0.0869475933851504
17903.44204705687,194.90340326402142,31115.3537786236,147.9292561742967,42583.10594986234,71.58921258040581,51538.95380277799,66.09729614204481,58803.538101129154,82.95893880546697,0.0179365060305155
26620.624024213983,155.3637354234875,34697.227625445375,92.3415424866925,40575.235124909515,109.35167688669578,47276.66881698451,109.43362506564615,54410.65671547313,106.89303090477095,0.0062333123435707
25329.92428854706,341.4640136678496,31911.596088242604,177.75114025532693,37833.21091577336,134.50330413102958,44930.83686985385,115.65215777779602,52503.723170255456,106.71099067272459,0.0139569523299784
