d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole
25111.89087001029,154.8864546968788,30287.664716412717,200.8520544180544,34956.6909545217,177.13241242101955,40091.27764517527,175.75170592052646,44881.45011139008,183.13580234038088,0.0474633852364631
28944.99041536714,234.69400805809252,37191.5497267817,135.8487021584363,40326.90613290224,151.47923718693323,43218.58646653214,162.85291263919035,46908.989406533976,177.97573731147273,0.3252209535203159
30909.120456011125,139.7622804962045,39081.57751824849,126.46887736126544,41790.99512684584,141.38558003262125,43903.55793576703,160.21941501380695,47260.76844431837,178.05706412477113,0.140499882034844
17849.278461562608,170.72556893594452,28324.22483533725,296.50692296786144,33541.194732623866,237.1179899527848,38491.73945836255,200.77495747923183,44027.92382530464,196.67952969482127,0.274982981769482
13047.63624650338,215.2557186269801,14345.885849867853,186.76864297658463,20221.94072070681,204.09698531143695,28118.483126887888,209.8446212468679,36435.037499148726,214.4742035949552,0.7079793756223073
13369.606249578746,208.7647905942435,14644.040981732232,191.2881484230489,20933.991851890227,213.4790541162409,28476.988533201515,217.38223939736545,36352.08364006398,218.52778098359923,0.3002293202793944
18725.26599480896,214.80911915961505,18208.61816716879,153.40134108972012,22649.018939382266,204.16767302459056,29500.64222674575,225.62074643240976,35956.46292348237,222.61836888009583,0.1382921638773417
17065.396414105526,312.049987044847,17937.954712212384,173.24052606247463,22242.515218368037,205.5862996178218,29112.73883493669,223.24658633236123,35370.780745824064,219.02637577526303,0.9852725365114452
10418.97006013006,180.2251739307814,15158.471398252885,210.4850864275749,18918.05534186664,170.64004590079978,22614.60284915449,170.89446874916607,25969.775380470437,172.27183306996935,0.2109744631953776
12092.29902157672,113.35068811890794,17183.782436094105,145.17211417508275,21401.145950995106,177.2711754636477,25533.81581205556,190.69232999441232,29392.969362725424,188.50542716798807,0.4521303440239168
17599.51639024015,275.1658849161567,20957.363090591974,39.39538165474013,26174.35384949716,150.0043500053149,31459.36829731415,183.17982200219407,35864.34787645529,187.82074312068715,0.1202984130421345
17856.35949836271,305.49058103219403,20507.355456564936,51.1594280937728,27540.342064917782,140.89448314858296,33823.725750129925,176.95581000432009,38699.00485360631,184.8360461226237,0.3043486494645935
18333.1170210976,285.0131001756174,26544.02372153837,163.91641721596605,34385.92211540201,123.42057053761572,41644.30379721031,145.6443301997386,47404.72886264636,164.91078005786704,0.0946363015489856
23769.56493939224,485.65302200535535,36334.71851619886,181.88506020000665,42179.43571972295,88.87682476378764,46533.552381681366,116.21665943710708,50988.25199491838,151.5793212548653,0.0042347387809466
27379.5778890232,310.2967523410649,38948.11215732227,149.25508009745093,43826.07214259212,57.2172071762701,47267.952995970525,110.77052752092968,51381.53247815666,151.38904349419107,0.006700773097177
25932.95311911176,249.457950630125,40070.35805232051,85.53699990547929,43238.32093581271,97.37348914347966,46337.44766146645,132.03842913657746,50739.20970587005,161.01815189439375,0.019262767414109
15289.04790316601,291.44462973796885,23782.91378264965,285.053836763992,32048.07725694945,205.36669117145857,39781.01524277325,178.41014033438725,47014.63664877051,183.21737485792897,0.2731600548678306
24502.924924767533,378.8046376925874,37016.859095928216,231.79836400713893,44211.62576801095,45.57020000643087,49511.48890318801,70.97084228981282,54805.51885280913,126.95320218972095,0.099622690844341
29695.541142448557,140.78848028185442,38163.64772048075,148.72278110852398,43675.087570066215,59.68254139646902,48822.47114393703,90.42124995306511,54361.43995263454,134.3996347635676,0.0064039611177958
