dx,dy,fx,fy,d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y,Diff_of_means,CDX2_1 Marker,CDX2_2 Marker,Minor Axis,Skeleton
1475.0,475.0,827.0,324.0,20849.960043530697,126.6894807886493,23004.95947123049,170.49683691450556,27017.134348083295,184.4497362643907,31411.80237728629,191.14892822361278,35407.25885989004,190.356055590792,0.0442493360294503,19.0,0.9207920792079208,827,324,-0.4473431668740003,0.0768859169171526,0.124506283494681,83.66523593704571,24.213203435596427
2675.0,475.0,1488.0,307.0,11236.5438229881,236.92787340426744,12440.193225176617,181.2027123058787,17124.06184631464,191.46005921708914,23490.23342339858,196.52868774122632,30193.849007946705,194.17022481430044,0.5527167603855244,90.0,1.0875912408759123,1488,307,-0.2661707115465399,0.0600836226710352,0.1619877386890504,86.93259819621773,107.63961030678928
5075.0,475.0,2651.0,344.0,16617.61593068205,81.23269012790148,23961.24707002947,67.57560537513099,25966.197496962726,97.45501256004849,28194.488689580536,123.7700578824061,31585.573964262454,140.07217169307424,0.0,40.0,0.931297709923664,2651,344,-0.5591375084147401,0.066436271630425,0.0402109206550828,0.0,50.59797974644666
5675.0,475.0,2980.0,344.0,16536.364327284078,175.417188738081,19244.468414464467,116.0399466430835,23391.459530594922,108.67753834847292,27868.453301382287,125.88584487369677,32264.097979060047,141.5596106005809,0.0519322620268045,29.0,0.9008264462809916,2980,344,-0.5646129115457746,0.0708749479816895,0.038297067703083,125.77893678983683,29.242640687119284
6475.0,475.0,3354.0,293.0,12461.859168419884,207.5699818643264,14495.176716584645,84.58716978129773,19922.96440289751,105.226295180674,25576.005639456384,131.3553509293476,30662.968999773813,146.73489234987449,0.0193815351651143,79.0,1.4205607476635511,3354,293,-0.4476016293956272,0.0634444526158382,0.0606198337428602,90.16955584214942,87.94112549695427
6675.0,475.0,3545.0,334.0,13665.802905909051,123.79084253119615,15441.911072307274,89.84470848285349,20071.37135107887,109.68538225215654,25178.154539458963,132.14526598006714,29922.553307741895,146.83681186786208,0.2342710857875674,79.0,0.9929577464788732,3545,334,-0.4553348338475544,0.0684390504541638,0.077550879195966,111.28318348510606,83.79898987322333
1675.0,675.0,951.0,417.0,18154.152685574805,196.12843607901027,24687.987683909076,113.16332485264115,30194.016517411972,147.23397395656784,35521.86884783837,177.09707379272047,40098.83642431644,184.9934200406465,0.1056819575198436,31.0,0.9791666666666666,951,417,-0.227741169588631,0.067702442124767,0.2513025467137436,86.06805003743654,37.45584412271571
2275.0,675.0,1225.0,426.0,14113.282677313122,208.96261713633515,19676.924864358563,144.24494057722998,25689.665236332206,181.16276401368515,31816.706315211475,197.37203222043408,37678.8429764318,196.6749826756459,0.1035594267420276,25.0,1.063063063063063,1225,426,-0.4611634740903888,0.0831493688997904,0.0943485390370958,71.72200981621201,27.31370849898476
2475.0,675.0,1349.0,436.0,16073.614273928119,107.412302413284,18258.105364296847,149.11099564857003,23673.2878247884,190.66135603684705,30020.362335475984,200.89676352415475,36316.28178928726,197.0841303123964,0.056794284333264,25.0,0.9912280701754386,1349,436,-0.5253459243229064,0.0705178238289719,0.0438873184985841,66.29569474830083,26.07106781186548
4675.0,675.0,2482.0,421.0,14273.129088712967,44.5085718883137,21692.15768460546,108.49097412410026,25202.48779423284,103.80512596453994,28847.89242954779,119.34281378037437,33340.074225626406,133.79593221408936,0.2917173352793392,42.0,0.7796610169491526,2482,421,-0.3951052110676019,0.0630483907985099,0.1361221031768032,80.34414426165179,48.45584412271572
